,geoid10,score10,se10
44227,36047032900,0.39513949,0.010415346
44228,36047033000,0.39101881,0.011692253
44229,36047033100,0.38959375,0.012179944
44230,36047033300,0.4267804,0.01517706
44231,36047033500,0.41748455,0.019143626
44232,36047033600,0.48207879,0.020501981
44233,36047033700,0.39468417,0.01413243
44234,36047033900,0.38968739,0.013755373
44235,36047034000,0.34903967,0.018545728
44236,36047034100,0.35067451,0.016273627
44237,36047034200,0.3563804,0.0098008038
44238,36047034300,0.32016665,0.0095360829
44239,36047034500,0.40053418,0.017404331
44240,36047034700,0.31378892,0.012085677
44241,36047034800,0.39612979,0.023839617
44242,36047034900,0.3831656,0.0098546436
44243,36047035000,0.61173022,0.017893882
44244,36047035100,0.39694318,0.011282099
44245,36047035200,0.34611982,0.049161684
44246,36047035300,0.35467482,0.0097673098
44247,36047035400,0.56468558,0.021521145
44248,36047035500,0.36082879,0.009294115
44249,36047035601,0.6125043,0.027773103
44250,36047035602,0.58670378,0.020031424
44251,36047035700,0.32889748,0.013287627
44252,36047035900,0.35265884,0.010735872
44253,36047036001,0.54185665,0.021644929
44254,36047036002,0.54481202,0.020451641
44255,36047036100,0.33726189,0.013644631
44256,36047036200,0.43596146,0.016542237
44257,36047036300,0.33820581,0.011572306
44258,36047036400,0.47421858,0.0223723
44259,36047036501,0.36812106,0.016573628
44260,36047036502,0.36909726,0.032006104
44261,36047036600,0.51788437,0.017645439
44262,36047036700,0.3905322,0.02641727
44263,36047036900,0.35453707,0.011903018
44264,36047037000,0.57882142,0.023970736
44265,36047037100,0.33481306,0.013432344
44266,36047037300,0.34208781,0.013482786
44267,36047037401,0.59191781,0.020526063
44268,36047037402,0.56244224,0.018525794
44269,36047037500,0.3342613,0.014567142
44270,36047037700,0.31878594,0.012888111
44271,36047037900,0.32600498,0.013674657
44272,36047038100,0.32456222,0.0105664
44273,36047038200,0.40772903,0.010638052
44274,36047038300,0.35863227,0.015335654
44275,36047038500,0.31359246,0.012527113
44276,36047038600,0.5635727,0.026380766
44277,36047038700,0.3155494,0.012409279
44278,36047038800,0.58040667,0.025176443
44279,36047038900,0.3552523,0.017066335
44280,36047039000,0.61733145,0.034778651
44281,36047039100,0.35674009,0.022366347
44282,36047039200,0.58723146,0.026871448
44283,36047039300,0.42904031,0.017341863
44284,36047039400,0.55139202,0.028122313
44285,36047039500,0.37807217,0.015037887
44286,36047039600,0.54286426,0.040620599
44287,36047039700,0.3642239,0.013901721
44288,36047039800,0.57644618,0.028513445
44289,36047039900,0.35728708,0.013559405
44290,36047040000,0.47466862,0.027866472
44291,36047040100,0.37077719,0.014795698
44292,36047040200,0.47489533,0.031403802
44293,36047040300,0.34627438,0.014867384
44294,36047040400,0.53295326,0.0295143
44295,36047040500,0.35118324,0.021525599
44296,36047040600,0.58568239,0.027626615
44298,36047040800,0.54081082,0.023661772
44299,36047040900,0.3807756,0.013916855
44300,36047041000,0.61044484,0.043638598
44301,36047041100,0.33991212,0.01473072
44302,36047041200,0.58958566,0.025336474
44303,36047041300,0.35789701,0.014409485
44304,36047041401,0.5292446,0.049643118
44305,36047041402,0.54811221,0.034897532
44306,36047041500,0.3865554,0.015134143
44307,36047041600,0.44347644,0.025178356
44308,36047041700,0.36866319,0.012930395
